table_id,path,rows,columns,route,system_destination,availability,selector_allowed,pit_rule,key_columns,sample_columns,date_min,date_max,amount_nonnull_rate,recent_nonnull_rate,recent_rows
year=2025,cn_local_minute_daily_silver_v1_20260531\hfq_daily_2024_2025\year=2025\part.parquet,1313898,40,lagged_daily_context,minute_panel_ctx_and_daily_factor_pack,trade_date_plus_1_conservative,true_lagged_only,join on signal_date = prior trading day; same-day close/state fields forbidden for intraday decisions,date|code|list_date|delist_date,date|code|name|industry|open_hfq|high_hfq|low_hfq|close_hfq|pre_close_hfq|volume_shares|amount_yuan|turnover_ratio|pct_chg|amplitude_pct|is_st|volume_ratio|return_3d_pct|return_6d_pct|return_10d_pct|return_25d_pct|is_limit_up|total_shares|float_shares|market_cap_yuan|float_market_cap_yuan|pe_ttm|pb|ps_ttm|ma5|ma10|ma20|ma30|ma60|ma120|ma250|list_date|delist_date|is_marginable|_source_file|_source_encoding,2025-01-02,2025-12-31,1.0,,
hfq_daily_2026,cn_local_minute_daily_silver_v1_20260531\hfq_daily_2026\hfq_daily_2026.parquet,443570,40,lagged_daily_context,minute_panel_ctx_and_daily_factor_pack,trade_date_plus_1_conservative,true_lagged_only,join on signal_date = prior trading day; same-day close/state fields forbidden for intraday decisions,date|code|list_date|delist_date,date|code|name|industry|open_hfq|high_hfq|low_hfq|close_hfq|pre_close_hfq|volume_shares|amount_yuan|turnover_ratio|pct_chg|amplitude_pct|is_st|volume_ratio|return_3d_pct|return_6d_pct|return_10d_pct|return_25d_pct|is_limit_up|total_shares|float_shares|market_cap_yuan|float_market_cap_yuan|pe_ttm|pb|ps_ttm|ma5|ma10|ma20|ma30|ma60|ma120|ma250|list_date|delist_date|is_marginable|_source_file|_source_encoding,2026-01-05,2026-05-14,1.0,,
rzrq_margin_xsection_daily,cn_public_rzrq_daily_silver_v1_20260530\rzrq_margin_xsection_daily.parquet,2359230,47,lagged_daily_context,daily_factor_pack_and_minute_ctx,vendor_daily_plus_1_conservative,true_lagged_only,same-day RZRQ forbidden; use prior available date,DATE|SCODE|SECUCODE|_source_date,DATE|MARKET|SCODE|SECNAME|RZYE|RQYL|RZRQYE|RQYE|RQMCL|RZRQYECZ|RZMRE|SZ|RZYEZB|RZMRE3D|RZMRE5D|RZMRE10D|RZCHE|RZCHE3D|RZCHE5D|RZCHE10D|RZJME|RZJME3D|RZJME5D|RZJME10D|RQMCL3D|RQMCL5D|RQMCL10D|RQCHL|RQCHL3D|RQCHL5D|RQCHL10D|RQJMG|RQJMG3D|RQJMG5D|RQJMG10D|SPJ|ZDF|RCHANGE3DCP|RCHANGE5DCP|RCHANGE10DCP,,,,,
rzrq_margin_xsection_monthly,cn_public_rzrq_monthly_silver_v1_20260530\rzrq_margin_xsection_monthly.parquet,1450000,47,lagged_daily_context,daily_factor_pack_and_minute_ctx,vendor_daily_plus_1_conservative,true_lagged_only,same-day RZRQ forbidden; use prior available date,DATE|SCODE|SECUCODE,DATE|MARKET|SCODE|SECNAME|RZYE|RQYL|RZRQYE|RQYE|RQMCL|RZRQYECZ|RZMRE|SZ|RZYEZB|RZMRE3D|RZMRE5D|RZMRE10D|RZCHE|RZCHE3D|RZCHE5D|RZCHE10D|RZJME|RZJME3D|RZJME5D|RZJME10D|RQMCL3D|RQMCL5D|RQMCL10D|RQCHL|RQCHL3D|RQCHL5D|RQCHL10D|RQJMG|RQJMG3D|RQJMG5D|RQJMG10D|SPJ|ZDF|RCHANGE3DCP|RCHANGE5DCP|RCHANGE10DCP,,,,,
billboard_buy,cn_public_xsection_no_kline_silver_v1_20260530\billboard_buy\billboard_buy.parquet,244856,21,event_disclosure_context,daily_event_factor_pack_diagnostic_first,after_disclosure_or_next_trading_day_conservative,diagnostic_until_disclosure_timestamp_contract,cannot be used intraday on trade date by default,SECURITY_CODE|SECUCODE|TRADE_DATE,SECURITY_CODE|SECUCODE|TRADE_DATE|OPERATEDEPT_CODE|OPERATEDEPT_NAME|EXPLANATION|CHANGE_RATE|CLOSE_PRICE|ACCUM_AMOUNT|ACCUM_VOLUME|BUY|SELL|NET|RISE_PROBABILITY_3DAY|TOTAL_BUYER_SALESTIMES_3DAY|CHANGE_TYPE|OPERATEDEPT_CODE_OLD|TOTAL_BUYRIO|TOTAL_SELLRIO|TRADE_ID|_source_file,,,,,
billboard_details,cn_public_xsection_no_kline_silver_v1_20260530\billboard_details\billboard_details.parquet,49010,40,event_disclosure_context,daily_event_factor_pack_diagnostic_first,after_disclosure_or_next_trading_day_conservative,diagnostic_until_disclosure_timestamp_contract,cannot be used intraday on trade date by default,TRADE_DATE|SECUCODE|SECURITY_CODE,TRADE_DATE|DEAL_AMOUNT_RATIO|BILLBOARD_DEAL_AMT|FREE_MARKET_CAP|EXPLAIN|SECUCODE|SECURITY_CODE|CLOSE_PRICE|CHANGE_RATE|TURNOVERRATE|D1_CLOSE_ADJCHRATE|D2_CLOSE_ADJCHRATE|D5_CLOSE_ADJCHRATE|D10_CLOSE_ADJCHRATE|SECURITY_NAME_ABBR|EXPLANATION|BILLBOARD_SELL_AMT|BILLBOARD_BUY_AMT|SECURITY_INNER_CODE|BILLBOARD_NET_AMT|DEAL_NET_RATIO|ACCUM_AMOUNT|MARKET|CHANGE_TYPE|TRADE_ID|BUY_SEAT|SELL_SEAT|BUY_RATIO|SELL_RATIO|TRADE_MARKET|D30_CLOSE_ADJCHRATE|D20_CLOSE_ADJCHRATE|TRADE_MARKET_CODE|BUY_SEAT_NEW|SELL_SEAT_NEW|SECURITY_TYPE_CODE|SUM_BUY_AMT|SUM_SELL_AMT|NET_BS_AMT|_source_file,,,,,
billboard_sell,cn_public_xsection_no_kline_silver_v1_20260530\billboard_sell\billboard_sell.parquet,244815,21,event_disclosure_context,daily_event_factor_pack_diagnostic_first,after_disclosure_or_next_trading_day_conservative,diagnostic_until_disclosure_timestamp_contract,cannot be used intraday on trade date by default,SECURITY_CODE|TRADE_DATE|SECUCODE,SECURITY_CODE|TRADE_DATE|SECUCODE|OPERATEDEPT_CODE|OPERATEDEPT_NAME|EXPLANATION|CHANGE_RATE|CLOSE_PRICE|ACCUM_AMOUNT|ACCUM_VOLUME|BUY|SELL|NET|RISE_PROBABILITY_3DAY|TOTAL_BUYER_SALESTIMES_3DAY|CHANGE_TYPE|OPERATEDEPT_CODE_OLD|TOTAL_BUYRIO|TOTAL_SELLRIO|TRADE_ID|_source_file,,,,,
holder_num_detail,cn_public_xsection_no_kline_silver_v1_20260530\holder_num_detail\holder_num_detail.parquet,119933,24,announcement_pit_context,pit_feature_panel,announcement_date_plus_1_conservative,true_after_pit_contract,"join by announcement/update date, not report end date alone",SECURITY_CODE|SECUCODE|END_DATE|PRE_END_DATE|PRE_E_DATE|HOLD_NOTICE_DATE|HOLD_N_DATE,SECURITY_CODE|SECUCODE|SECURITY_NAME_ABBR|HOLDER_NUM|PRE_HOLDER_NUM|HOLDER_NUM_CHANGE|HOLDER_NUM_RATIO|INTERVAL_CHRATE|END_DATE|PRE_END_DATE|PRE_E_DATE|AVG_MARKET_CAP|AVG_HOLD_NUM|TOTAL_MARKET_CAP|TOTAL_A_SHARES|HOLD_NOTICE_DATE|HOLD_N_DATE|CHANGE_SHARES|CHANGE_REASON|CLOSE_PRICE|TRADE_MARKET_CODE|ORG_CODE|REPORT|_source_file,,,,,
holder_num_latest,cn_public_xsection_no_kline_silver_v1_20260530\holder_num_latest\holder_num_latest.parquet,5516,24,announcement_pit_context,pit_feature_panel,announcement_date_plus_1_conservative,true_after_pit_contract,"join by announcement/update date, not report end date alone",SECURITY_CODE|SECUCODE|END_DATE|PRE_END_DATE|PRE_E_DATE|HOLD_NOTICE_DATE|HOLD_N_DATE,SECURITY_CODE|SECUCODE|SECURITY_NAME_ABBR|HOLDER_NUM|PRE_HOLDER_NUM|HOLDER_NUM_CHANGE|HOLDER_NUM_RATIO|INTERVAL_CHRATE|END_DATE|PRE_END_DATE|PRE_E_DATE|AVG_MARKET_CAP|AVG_HOLD_NUM|TOTAL_MARKET_CAP|TOTAL_A_SHARES|HOLD_NOTICE_DATE|HOLD_N_DATE|CHANGE_SHARES|CHANGE_REASON|CLOSE_PRICE|TRADE_MARKET_CODE|ORG_CODE|SECURITY_TYPE_CODE|_source_file,,,,,
rzrq_margin_xsection,cn_public_xsection_no_kline_silver_v1_20260530\rzrq_margin_xsection\rzrq_margin_xsection.parquet,50000,46,lagged_daily_context,daily_factor_pack_and_minute_ctx,vendor_daily_plus_1_conservative,true_lagged_only,same-day RZRQ forbidden; use prior available date,DATE|SCODE|SECUCODE,DATE|MARKET|SCODE|SECNAME|RZYE|RQYL|RZRQYE|RQYE|RQMCL|RZRQYECZ|RZMRE|SZ|RZYEZB|RZMRE3D|RZMRE5D|RZMRE10D|RZCHE|RZCHE3D|RZCHE5D|RZCHE10D|RZJME|RZJME3D|RZJME5D|RZJME10D|RQMCL3D|RQMCL5D|RQMCL10D|RQCHL|RQCHL3D|RQCHL5D|RQCHL10D|RQJMG|RQJMG3D|RQJMG5D|RQJMG10D|SPJ|ZDF|RCHANGE3DCP|RCHANGE5DCP|RCHANGE10DCP,,,,,
stock_calendar,cn_public_xsection_no_kline_silver_v1_20260530\stock_calendar\stock_calendar.parquet,1243838,13,tradability_calendar_context,universe_filter_and_diagnostic,calendar_metadata,false_universe_control_only,"tradability/universe metadata, not alpha signal unless separately proven",SECUCODE|SECURITY_CODE|NOTICE_DATE,SECUCODE|SECURITY_CODE|SECURITY_INNER_CODE|ORG_CODE|NOTICE_DATE|INFO_CODE|EVENT_TYPE|EVENT_TYPE_CODE|LEVEL1_CONTENT|CHANGE_RATE|CLOSE_PRICE|DAILY_RANK|_source_file,,,,,
review_uplimit_reason,cn_zzshare_uplimit_history_silver_v1_20260531\review_uplimit_reason\review_uplimit_reason.parquet,168229,22,timestamped_stock_intraday_event,minute_event_alignment_and_event_factor_pack,usable_at_or_after_up_limit_time_cutoff,true_after_cutoff_only,same-day use before event timestamp is leakage; reason text requires separate NLP contract,date1|stock_code,plate_code|plate_name|plate_score|id|date1|stock_code|stock_name|stock_price|up_limit_keep_times|up_limit_desc|up_limit_type|up_limit_time|reason|fengdan_volumn|fengdan_money|fengdan_rate|feng_circulation_rate|actualcirculation_value|turnover_ration_real|market_type|amount|_source_file,2024-01-02,2026-05-29,,1.0,71768
review_uplimit_reason_open,cn_zzshare_uplimit_history_silver_v1_20260531\review_uplimit_reason_open\review_uplimit_reason_open.parquet,42673,5,manual_contract_required,blocked_until_registry_review,unknown,false_until_contract,manual review required,date|stock_code,date|stock_code|stock_name|reason|_source_file,,,,,
updown_distribution,cn_zzshare_uplimit_history_silver_v1_20260531\updown_distribution\updown_distribution.parquet,581,40,lagged_market_regime_context,regime_panel_and_daily_factor_pack,trade_date_plus_1_conservative,true_lagged_only,daily market summary; do not use same-day for open/morning decisions,date,date|_source_file|-1|-10|-2|-3|-4|-5|-6|-7|-8|-9|0|1|10|2|3|4|5|6|7|8|9|DT|SJDT|SJZT|STDT|STZT|SZJS|XDJS|ZSZDFB|ZT|q_zrcs|q_zrtj|qscln|s_zrcs|s_zrtj|sign|szln|day,,,,,
uplimit_trend,cn_zzshare_uplimit_history_silver_v1_20260531\uplimit_trend\uplimit_trend.parquet,49809,13,timestamped_market_intraday_event,minute_event_alignment_and_regime_context,usable_at_or_after_row_time,true_after_cutoff_only,market event state can gate only after row time; no later cutoff fields in earlier horizons,date|time,date|_source_file|nums_DT|nums_SZJS|nums_XDJS|nums_ZBL|nums_ZRZT|nums_ZT|nums_ZTZB|nums_yestRase|time|uplimit_count|open_board_count,2024-01-02,2026-05-29,,0.0,
